month,Pop,PfPR U5,year,Run_Number,Habitat_Multiplier,admin_name
1,932.3333333333,0.0006435466571326,2017,0,0.025118864315095794,FF
2,937.1666666667,0.0009247732527121,2017,0,0.025118864315095794,FF
3,950.2333333333,0.0008068193776967,2017,0,0.025118864315095794,FF
4,959.6666666667,0.0005210142410559,2017,0,0.025118864315095794,FF
5,953.3333333333,0.001328671328671,2017,0,0.025118864315095794,FF
6,958.2,0.0007305364224588,2017,0,0.025118864315095794,FF
7,959.7,0.001771386891737,2017,0,0.025118864315095794,FF
8,967.8333333333,0.001171000516618,2017,0,0.025118864315095794,FF
9,975.8,0.001468880235021,2017,0,0.025118864315095794,FF
10,976.5,0.002730841440519,2017,0,0.025118864315095794,FF
11,974.6333333333,0.00167584390711,2017,0,0.025118864315095794,FF
12,971.7333333333,0.003464599341383,2017,0,0.025118864315095794,FF
1,936.4333333333,0.195351155092,2010,0,1.5848931924611125,GG
2,928.9666666667,0.146829810901,2010,0,1.5848931924611125,GG
3,928.6666666667,0.1523330940416,2010,0,1.5848931924611125,GG
4,937.4666666667,0.1515076091594,2010,0,1.5848931924611125,GG
5,949.3333333333,0.1199789325843,2010,0,1.5848931924611125,GG
6,956.7666666667,0.1371982022785,2010,0,1.5848931924611125,GG
7,953.0666666667,0.2021194739787,2010,0,1.5848931924611125,GG
8,957.0666666667,0.269225410978,2010,0,1.5848931924611125,GG
9,960.6,0.3036990769658,2010,0,1.5848931924611125,GG
10,962.3,0.3198240326994,2010,0,1.5848931924611125,GG
11,956.7666666667,0.2812946381911,2010,0,1.5848931924611125,GG
12,950.7333333333,0.1991094593647,2010,0,1.5848931924611125,GG
1,950.7,0.1427369306827,2011,0,1.5848931924611125,GG
2,947.1,0.1194171681977,2011,0,1.5848931924611125,GG
3,938.9,0.11996307736,2011,0,1.5848931924611125,GG
4,932.3666666667,0.1156912516535,2011,0,1.5848931924611125,GG
5,929.4,0.09149271931712,2011,0,1.5848931924611125,GG
6,931.8666666667,0.1190442123337,2011,0,1.5848931924611125,GG
7,933.1,0.2024077447933,2011,0,1.5848931924611125,GG
8,927.9,0.2588641017351,2011,0,1.5848931924611125,GG
9,927.7333333333,0.3209255533199,2011,0,1.5848931924611125,GG
10,926.8,0.3405265429435,2011,0,1.5848931924611125,GG
11,926.9,0.2804329845003,2011,0,1.5848931924611125,GG
12,919.9,0.2165815124832,2011,0,1.5848931924611125,GG
1,932.2,0.1408853607953,2012,0,1.5848931924611125,GG
